Record Number	Action Type	Action Time	End Time	User Name	Display Name	Duration
47129	Incoming Call	2/13/2016 14:36	2/14/2016 3:18	skyper1	Skyper 1	12.7
51046	Outgoing Call	3/6/2016 15:46	3/6/2016 23:55	skyper1	Skyper 1	8.15
48215	Incoming Call	2/20/2016 15:06	2/20/2016 22:52	skyper1	Skyper 1	7.76
20595	Incoming Call	4/26/2015 15:09	4/26/2015 21:40	skyper1	Skyper 1	6.53
45680	Incoming Call	1/30/2016 21:13	1/31/2016 3:31	skyper1	Skyper 1	6.29
13517	Outgoing Call	1/4/2015 23:03	1/5/2015 4:28	skyper1	Skyper 1	5.43
50339	Incoming Call	3/2/2016 21:52	3/3/2016 3:03	skyper1	Skyper 1	5.18
17184	Incoming Call	2/3/2015 21:50	2/4/2015 2:54	skyper1	Skyper 1	5.07
17991	Incoming Call	2/11/2015 0:13	2/11/2015 5:00	skyper1	Skyper 1	4.78
13759	Incoming Call	1/7/2015 0:03	1/7/2015 4:40	skyper1	Skyper 1	4.61
19817	Incoming Call	4/11/2015 0:09	4/11/2015 4:43	skyper1	Skyper 1	4.58
48863	Incoming Call	2/23/2016 21:21	2/24/2016 1:47	skyper1	Skyper 1	4.43
51285	Incoming Call	3/7/2016 20:53	3/8/2016 1:18	skyper1	Skyper 1	4.42
29366	Incoming Call	9/5/2015 22:48	9/6/2015 3:08	skyper1	Skyper 1	4.34
40837	Incoming Call	1/10/2016 0:02	1/10/2016 4:22	skyper1	Skyper 1	4.32
46853	Incoming Call	2/10/2016 22:31	2/11/2016 2:42	skyper1	Skyper 1	4.19
53198	Incoming Call	3/26/2016 23:07	3/27/2016 3:14	skyper1	Skyper 1	4.13
38506	Incoming Call	11/22/2015 21:58	11/23/2015 2:06	skyper1	Skyper 1	4.12
14609	Incoming Call	1/17/2015 14:36	1/17/2015 18:40	skyper1	Skyper 1	4.06
53413	Incoming Call	3/28/2016 21:54	3/29/2016 1:54	skyper1	Skyper 1	4.01
14901	Incoming Call	1/20/2015 23:10	1/21/2015 3:09	skyper1	Skyper 1	3.98
