Time	Author	Message	Skype Name
8/25/2014 13:43	Skyper 1	…	skyper1
8/25/2014 13:43	Skyper 2	…	skyper2
8/25/2014 13:44	Skyper 1	…	skyper1
8/25/2014 13:45	Skyper 1	…	skyper1
8/25/2014 13:45	Skyper 1	…	skyper1
8/25/2014 13:46	Skyper 2	…	skyper2
8/25/2014 13:46	Skyper 1	…	skyper1
8/25/2014 13:52	Skyper 1	…	skyper1
8/25/2014 13:56	Skyper 1	…	skyper1
8/25/2014 13:57	Skyper 2	…	skyper2
8/25/2014 13:57	Skyper 2	…	skyper2
8/25/2014 13:57	Skyper 2	…	skyper2
8/25/2014 13:57	Skyper 1	…	skyper1
8/25/2014 13:58	Skyper 1	…	skyper1
8/25/2014 13:58	Skyper 1	…	skyper1
8/25/2014 14:26	Skyper 2	…	skyper2
8/25/2014 14:49	Skyper 1	…	skyper1
8/25/2014 14:49	Skyper 1	…	skyper1
8/25/2014 14:50	Skyper 2	…	skyper2
8/25/2014 14:50	Skyper 2	…	skyper2
8/25/2014 14:50	Skyper 2	…	skyper2
8/25/2014 14:51	Skyper 1	…	skyper1
8/25/2014 14:55	Skyper 1	…	skyper1
8/25/2014 14:59	Skyper 2	…	skyper2
8/25/2014 15:03	Skyper 1	…	skyper1
8/25/2014 15:03	Skyper 2	…	skyper2
8/25/2014 15:03	Skyper 1	…	skyper1
8/25/2014 15:03	Skyper 1	…	skyper1
8/25/2014 15:03	Skyper 1	…	skyper1
8/25/2014 15:03	Skyper 2	…	skyper2
8/25/2014 15:16	Skyper 1	…	skyper1
8/25/2014 15:17	Skyper 1	…	skyper1
8/25/2014 21:49	Skyper 2	…	skyper2
8/25/2014 21:55	Skyper 1	…	skyper1
8/25/2014 21:56	Skyper 2	…	skyper2
8/25/2014 21:56	Skyper 2	…	skyper2
8/25/2014 22:02	Skyper 1	…	skyper1
8/25/2014 22:03	Skyper 2	…	skyper2
8/25/2014 22:03	Skyper 2	…	skyper2
8/25/2014 22:08	Skyper 2	…	skyper2
8/25/2014 22:16	Skyper 1	…	skyper1
8/25/2014 22:22	Skyper 1	…	skyper1
8/25/2014 22:22	Skyper 1	…	skyper1
8/25/2014 22:22	Skyper 1	…	skyper1
8/25/2014 22:44	Skyper 1	…	skyper1
8/25/2014 22:46	Skyper 1	…	skyper1
8/25/2014 22:46	Skyper 2	…	skyper2
8/25/2014 22:46	Skyper 2	…	skyper2
8/25/2014 22:47	Skyper 1	…	skyper1
8/25/2014 23:08	Skyper 1	…	skyper1
8/25/2014 23:08	Skyper 1	…	skyper1
8/25/2014 23:08	Skyper 1	…	skyper1
8/25/2014 23:08	Skyper 2	…	skyper2
8/25/2014 23:12	Skyper 1	…	skyper1
8/25/2014 23:23	Skyper 1	…	skyper1
8/25/2014 23:24	Skyper 1	…	skyper1
8/25/2014 23:32	Skyper 2	…	skyper2
8/25/2014 23:33	Skyper 1	…	skyper1
8/25/2014 23:36	Skyper 1	…	skyper1
8/25/2014 23:45	Skyper 2	…	skyper2
8/25/2014 23:45	Skyper 1	…	skyper1
8/26/2014 0:02	Skyper 1	…	skyper1
8/26/2014 0:03	Skyper 1	…	skyper1
8/26/2014 0:10	Skyper 1	…	skyper1
8/26/2014 0:10	Skyper 1	…	skyper1
8/26/2014 0:34	Skyper 2	…	skyper2
8/26/2014 0:34	Skyper 1	…	skyper1
8/26/2014 0:34	Skyper 2	…	skyper2
8/26/2014 0:36	Skyper 2	…	skyper2
8/26/2014 0:36	Skyper 2	…	skyper2
8/26/2014 0:37	Skyper 1	…	skyper1
8/26/2014 0:37	Skyper 2	…	skyper2
8/26/2014 0:37	Skyper 1	…	skyper1
8/26/2014 0:37	Skyper 2	…	skyper2
8/26/2014 0:37	Skyper 2	…	skyper2
8/26/2014 0:38	Skyper 2	…	skyper2
8/26/2014 0:38	Skyper 1	…	skyper1
8/26/2014 0:39	Skyper 1	…	skyper1
8/26/2014 0:39	Skyper 1	…	skyper1
8/26/2014 0:39	Skyper 1	…	skyper1
8/26/2014 0:39	Skyper 1	…	skyper1
8/26/2014 0:39	Skyper 2	…	skyper2
8/26/2014 0:39	Skyper 1	…	skyper1
8/26/2014 0:40	Skyper 1	…	skyper1
8/26/2014 0:40	Skyper 2	…	skyper2
8/26/2014 0:40	Skyper 1	…	skyper1
8/26/2014 0:40	Skyper 1	…	skyper1
8/26/2014 0:42	Skyper 2	…	skyper2
8/26/2014 0:42	Skyper 2	…	skyper2
8/26/2014 0:42	Skyper 1	…	skyper1
8/26/2014 0:43	Skyper 2	…	skyper2
8/26/2014 0:43	Skyper 1	…	skyper1
8/26/2014 0:43	Skyper 2	…	skyper2
8/26/2014 0:43	Skyper 1	…	skyper1
8/26/2014 0:45	Skyper 1	…	skyper1
8/26/2014 0:45	Skyper 1	…	skyper1
8/26/2014 0:45	Skyper 2	…	skyper2
8/26/2014 0:46	Skyper 2	…	skyper2
8/26/2014 0:46	Skyper 1	…	skyper1
8/26/2014 0:46	Skyper 1	…	skyper1
8/26/2014 0:47	Skyper 2	…	skyper2
8/26/2014 0:47	Skyper 1	…	skyper1
8/26/2014 0:47	Skyper 1	…	skyper1
8/26/2014 0:52	Skyper 1	…	skyper1
8/26/2014 0:53	Skyper 2	…	skyper2
8/26/2014 0:53	Skyper 2	…	skyper2
8/26/2014 0:54	Skyper 1	…	skyper1
8/26/2014 0:54	Skyper 1	…	skyper1
8/26/2014 0:54	Skyper 1	…	skyper1
8/26/2014 0:55	Skyper 1	…	skyper1
8/26/2014 0:55	Skyper 2	…	skyper2
8/26/2014 0:56	Skyper 1	…	skyper1
8/26/2014 0:58	Skyper 2	…	skyper2
8/26/2014 0:58	Skyper 2	…	skyper2
8/26/2014 0:58	Skyper 2	…	skyper2
8/26/2014 0:59	Skyper 1	…	skyper1
8/26/2014 0:59	Skyper 1	…	skyper1
8/26/2014 0:59	Skyper 1	…	skyper1
8/26/2014 1:00	Skyper 1	…	skyper1
8/26/2014 1:00	Skyper 2	…	skyper2
8/26/2014 1:00	Skyper 1	…	skyper1
8/26/2014 1:01	Skyper 2	…	skyper2
8/26/2014 1:01	Skyper 1	…	skyper1
8/26/2014 1:01	Skyper 1	…	skyper1
8/26/2014 1:01	Skyper 1	…	skyper1
8/26/2014 1:01	Skyper 2	…	skyper2
8/26/2014 1:02	Skyper 1	…	skyper1
8/26/2014 1:06	Skyper 2	…	skyper2
8/26/2014 1:06	Skyper 2	…	skyper2
8/26/2014 1:09	Skyper 1	…	skyper1
8/26/2014 1:16	Skyper 1	…	skyper1
8/26/2014 1:30	Skyper 2	…	skyper2
8/26/2014 1:30	Skyper 2	…	skyper2
8/26/2014 1:31	Skyper 1	…	skyper1
8/26/2014 1:31	Skyper 2	…	skyper2
8/26/2014 1:31	Skyper 2	…	skyper2
8/26/2014 1:31	Skyper 1	…	skyper1
8/26/2014 1:33	Skyper 1	…	skyper1
8/26/2014 1:33	Skyper 1	…	skyper1
